Strike ID,Date,Adm_1,Adm_2,Loc,Minimum total people killed,Maximum total people killed,Minimum civilians reported killed,Maximum civilians reported killed,Minimum children reported killed,Maximum children reported killed,Minimum reported injured,Maximum reported injured,matched_sort_Adm_1,matched_sort_Adm_1_ufi,matched_sort_Adm_1_adm1,matched_sort_Adm_1_matched_sort_Adm_1,matched_sort_Adm_1_full_name,matched_sort_Adm_1_full_nm_nd,matched_sort_Adm_1_desig_cd,matched_sort_Adm_1_lat_dd,matched_sort_Adm_1_long_dd,matched_sort_Adm_2,matched_sort_Adm_2_ufi,matched_sort_Adm_2_adm1,matched_sort_Adm_2_matched_sort_Adm_2,matched_sort_Adm_2_full_name,matched_sort_Adm_2_full_nm_nd,matched_sort_Adm_2_desig_cd,matched_sort_Adm_2_lat_dd,matched_sort_Adm_2_long_dd,matched_sort_Loc,matched_sort_Loc_ufi,matched_sort_Loc_adm1,matched_sort_Loc_matched_sort_Loc,matched_sort_Loc_full_name,matched_sort_Loc_full_nm_nd,matched_sort_Loc_desig_cd,matched_sort_Loc_lat_dd,matched_sort_Loc_long_dd
SOM062,07/09/2017,Shabeellaha Hoose,Barawe,Unknown,1,1,0,0,0,0,0,0,SHABEELLAHAHOOSE,-3229137.0,SO-SH,SHABEELLAHAHOOSE,Shabeellaha Hoose,Shabeellaha Hoose,ADM1,1.83333,44.41667,unclear,,,,,,,,,,,,,,,,,
SOM063,13/09/2017,unclear,unclear,Unknown,6,6,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOM064,30/09/2017,unclear,unclear,Unknown,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOM065,02/10/2017,unclear,unclear,Unknown,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOM066,16/10/2017,Shabeellaha Hoose,Afgooye,Bariire,0,5,0,2,0,0,0,8,SHABEELLAHAHOOSE,-3229137.0,SO-SH,SHABEELLAHAHOOSE,Shabeellaha Hoose,Shabeellaha Hoose,ADM1,1.83333,44.41667,unclear,,,,,,,,,BARIIRRE,-3216239.0,SO-SH,BARIIRRE,Bariirre,Bariirre,PPL,2.047573,44.897461
SOM067,03/11/2017,Puntland,unclear,Unknown,3,20,0,0,0,0,0,0,unclear,,,,,,,,,,,,,,,,,,,,,,,,,,
SOM068,09/11/2017,Bay,unclear,unclear,3,3,0,0,0,0,0,0,BAY,-3216354.0,SO-BY,BAY,Bay,Bay,ADM1,3.0,43.5,,,,,,,,,,,,,,,,,,
SOM069,10/11/2017,Shabeellaha Hoose,Afgooye,Basra,13,13,0,3,0,0,0,0,SHABEELLAHAHOOSE,-3229137.0,SO-SH,SHABEELLAHAHOOSE,Shabeellaha Hoose,Shabeellaha Hoose,ADM1,1.83333,44.41667,unclear,,,,,,,,,BASRA,-3216331.0,SO-SH,BASRA,Basra,Basra,PPL,2.2991,45.2636
SOM070,11/11/2017,unclear,unclear,Unknown,1,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOM071,12/11/2017,Shabeellaha Hoose,unclear,unclear,3,3,0,3,0,0,0,0,SHABEELLAHAHOOSE,-3229137.0,SO-SH,SHABEELLAHAHOOSE,Shabeellaha Hoose,Shabeellaha Hoose,ADM1,1.83333,44.41667,,,,,,,,,,,,,,,,,,
SOM072,12/11/2017,Puntland,unclear,Unknown,23,23,0,0,0,0,0,0,unclear,,,,,,,,,,,,,,,,,,,,,,,,,,
SOM073,13/11/2017,unclear,unclear,Unknown,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOM074,14/11/2017,Shabeellaha Hoose,unclear,unclear,6,6,0,0,0,0,0,0,SHABEELLAHAHOOSE,-3229137.0,SO-SH,SHABEELLAHAHOOSE,Shabeellaha Hoose,Shabeellaha Hoose,ADM1,1.83333,44.41667,,,,,,,,,,,,,,,,,,
SOM075,21/11/2017,Bay,unclear,unclear,100,100,0,0,0,0,0,0,BAY,-3216354.0,SO-BY,BAY,Bay,Bay,ADM1,3.0,43.5,,,,,,,,,,,,,,,,,,
SOM076,27/11/2017,unclear,unclear,Unknown,1,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOM077,12/12/2017,Shabeellaha Hoose,Qoryooley,Mubaarak,0,0,0,0,0,0,0,0,SHABEELLAHAHOOSE,-3229137.0,SO-SH,SHABEELLAHAHOOSE,Shabeellaha Hoose,Shabeellaha Hoose,ADM1,1.83333,44.41667,unclear,,,,,,,,,MUBAARAK,-3227370.0,SO-SH,MUBAARAK,Mubaarak,Mubaarak,PPL,1.916744,44.773275
SOM078,15/12/2017,Jubbada Hoose,unclear,unclear,8,8,0,0,0,0,0,0,JUBBADAHOOSE,-3224957.0,SO-JH,JUBBADAHOOSE,Jubbada Hoose,Jubbada Hoose,ADM1,0.0,42.0,,,,,,,,,,,,,,,,,,
SOM079,24/12/2017,unclear,unclear,Unknown,13,13,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOM080,27/12/2017,Shabeellaha Hoose,unclear,unclear,4,4,0,0,0,0,0,0,SHABEELLAHAHOOSE,-3229137.0,SO-SH,SHABEELLAHAHOOSE,Shabeellaha Hoose,Shabeellaha Hoose,ADM1,1.83333,44.41667,,,,,,,,,,,,,,,,,,
SOM081,02/01/2018,Shabeellaha Hoose,unclear,unclear,2,2,0,0,0,0,0,0,SHABEELLAHAHOOSE,-3229137.0,SO-SH,SHABEELLAHAHOOSE,Shabeellaha Hoose,Shabeellaha Hoose,ADM1,1.83333,44.41667,,,,,,,,,,,,,,,,,,
SOM082,18/01/2018,Jubbada Hoose,unclear,unclear,4,4,0,0,0,0,0,0,JUBBADAHOOSE,-3224957.0,SO-JH,JUBBADAHOOSE,Jubbada Hoose,Jubbada Hoose,ADM1,0.0,42.0,,,,,,,,,,,,,,,,,,
SOM083,18/01/2018,Shabeellaha Dhexe,unclear,Unknown,0,5,0,0,0,5,0,6,SHABEELLAHADHEXE,-3229128.0,SO-SD,SHABEELLAHADHEXE,Shabeellaha Dhexe,Shabeellaha Dhexe,ADM1,3.0,46.0,,,,,,,,,,,,,,,,,,
SOM084,06/02/2018,Jubbada Dhexe,Jilib,Qunyo Barrow,0,0,0,0,0,0,0,0,JUBBADADHEXE,-3224955.0,SO-JD,JUBBADADHEXE,Jubbada Dhexe,Jubbada Dhexe,ADM1,1.33333,42.66667,unclear,,,,,,,,,QUNYOBARROW,-3228309.0,SO-JD,QUNYOBARROW,Qunyo Barrow,Qunyo Barrow,PPL,0.800088,43.385188
SOM085,19/02/2018,Jubbada Dhexe,Jilib,Unknown,3,3,0,0,0,0,0,0,JUBBADADHEXE,-3224955.0,SO-JD,JUBBADADHEXE,Jubbada Dhexe,Jubbada Dhexe,ADM1,1.33333,42.66667,unclear,,,,,,,,,,,,,,,,,
SOM086,21/02/2018,Jubbada Hoose,Jamaame,unclear,4,5,0,2,0,0,0,0,JUBBADAHOOSE,-3224957.0,SO-JH,JUBBADAHOOSE,Jubbada Hoose,Jubbada Hoose,ADM1,0.0,42.0,unclear,,,,,,,,,,,,,,,,,
SOM087,26/02/2018,Jubbada Dhexe,Jilib,Unknown,2,2,0,0,0,0,1,1,JUBBADADHEXE,-3224955.0,SO-JD,JUBBADADHEXE,Jubbada Dhexe,Jubbada Dhexe,ADM1,1.33333,42.66667,unclear,,,,,,,,,,,,,,,,,
SOM088,12/03/2018,Jubbada Hoose,Jamaame,Kamsuuma,0,0,0,0,0,0,0,0,JUBBADAHOOSE,-3224957.0,SO-JH,JUBBADAHOOSE,Jubbada Hoose,Jubbada Hoose,ADM1,0.0,42.0,unclear,,,,,,,,,KAMSUUMA,-3225192.0,SO-JH,KAMSUUMA,Kamsuuma,Kamsuuma,PPL,0.24932,42.779147
