Strike ID,Date,Loc,Adm_2,Adm_1,Minimum total people killed,Maximum total people killed,Minimum civilians reported killed,Maximum civilians reported killed,Minimum children reported killed,Maximum children reported killed,Minimum reported injured,Maximum reported injured
YEM224,03/04/2016,unclear,Al Mukalla,Hadramawt,0,0,0,0,0,0,0,0
YEM225,05/04/2016,unclear,Zinjibar,Abyan,0,0,0,0,0,0,0,0
YEM226,23/04/2016,Alemien,unclear,Marib,2,2,0,0,0,0,0,0
YEM227,25/04/2016,unclear,Zinjibar,Abyan,3,6,0,0,0,0,0,0
YEM228,25/04/2016,Azzan,unclear,Shabwah,2,10,0,0,0,0,0,0
YEM229,28/04/2016,unclear,unclear,Shabwah,4,4,0,0,0,0,1,1
YEM230,19/05/2016,unclear,unclear,Shabwah,4,4,0,0,0,0,0,0
YEM231,09/06/2016,unclear,unclear,ALBAYDA,2,2,0,0,0,0,0,0
YEM232,10/06/2016,Unknown,unclear,Marib,2,2,0,0,0,0,0,0
YEM233,12/06/2016,unclear,Habban,Shabwah,2,3,0,0,0,0,1,1
YEM234,01/07/2016,Gardan,unclear,Shabwah,3,6,0,0,0,0,0,0
YEM235,04/07/2016,Musaina,unclear,Shabwah,2,3,0,0,0,0,0,1
YEM236,08/07/2016,unclear,unclear,unclear,1,1,0,0,0,0,0,0
YEM237,10/07/2016,Jabul,unclear,Marib,0,0,0,0,0,0,4,4
YEM238,16/07/2016,Al Uqlah,unclear,Shabwah,2,4,0,0,0,0,0,2
YEM239,04/08/2016,Azzan,unclear,Shabwah,2,4,0,0,0,0,2,4
YEM240,24/08/2016,unclear,unclear,Shabwah,4,5,0,0,0,0,0,0
YEM241,30/08/2016,unclear,unclear,Shabwah,3,3,0,0,0,0,0,0
YEM242,04/09/2016,unclear,unclear,Shabwah,6,9,0,0,0,0,0,0
YEM243,13/09/2016,unclear,Rada,ALBAYDA,5,5,0,0,0,0,0,0
YEM244,20/09/2016,Wadi Abida,unclear,Marib,2,2,0,0,0,0,0,0
YEM245,22/09/2016,unclear,ASSAWMAH,ALBAYDA,2,3,0,0,0,0,0,0
YEM246,23/09/2016,Unknown,unclear,Marib,3,5,0,0,0,0,0,0
YEM247,29/09/2016,unclear,unclear,ALBAYDA,2,2,0,0,0,0,0,0
YEM248,06/10/2016,unclear,unclear,Shabwah,2,2,0,0,0,0,0,0
YEM249,12/10/2016,unclear,unclear,unclear,0,0,0,0,0,0,0,0
YEM250,18/10/2016,unclear,unclear,Shabwah,3,8,0,0,0,0,2,2
YEM251,21/10/2016,Unknown,unclear,Marib,5,5,0,0,0,0,0,0
YEM252,21/11/2016,unclear,unclear,ALBAYDA,1,1,0,0,0,0,0,0
YEM253,24/11/2016,unclear,ASSAWMAH,ALBAYDA,2,2,0,0,0,0,0,0
YEM254,30/11/2016,unclear,unclear,Hadramawt,3,3,0,0,0,0,0,0
YEM255,13/12/2016,unclear,unclear,unclear,4,4,0,0,0,0,0,0
YEM256,29/12/2016,unclear,ASSAWMAH,ALBAYDA,2,2,0,0,0,0,0,0
YEM257,08/01/2017,unclear,unclear,ALBAYDA,1,1,0,0,0,0,0,0
YEM258,20/01/2017,unclear,unclear,ALBAYDA,1,1,0,0,0,0,0,0
YEM259,21/01/2017,unclear,unclear,ALBAYDA,3,6,0,0,0,0,0,0
YEM260,22/01/2017,unclear,unclear,ALBAYDA,1,3,0,0,0,0,0,0
YEM261,28/01/2017,Yakla,unclear,ALBAYDA,39,39,25,25,10,10,7,7
YEM262,30/01/2017,unclear,Bayhan,Shabwah,2,2,0,0,0,0,0,0
YEM263,02/03/2017,unclear,unclear,unclear,2,12,0,0,0,0,0,0
YEM264,03/03/2017,unclear,unclear,unclear,1,8,0,0,0,0,0,0
YEM265,04/03/2017,unclear,Ahwar,Abyan,2,2,0,0,0,0,0,0
YEM266,06/03/2017,unclear,unclear,unclear,7,11,0,2,0,2,0,0
YEM267,31/03/2017,unclear,unclear,unclear,0,0,0,0,0,0,0,0
YEM268,02/04/2017,unclear,unclear,Shabwah,0,0,0,0,0,0,0,0
YEM269,18/04/2017,Unknown,unclear,Marib,3,4,0,0,0,0,0,0
YEM270,23/04/2017,unclear,As Said,Shabwah,3,8,3,8,0,0,0,0
YEM271,24/04/2017,unclear,unclear,unclear,0,0,0,0,0,0,0,0
YEM272,29/04/2017,Unknown,unclear,Marib,4,5,0,0,0,0,0,0
YEM273,29/04/2017,unclear,unclear,Shabwah,3,3,0,0,0,0,0,0
YEM274,23/05/2017,Al Sirim area,unclear,Marib,7,12,5,5,0,1,5,6
YEM275,16/06/2017,Al Naqba,unclear,Shabwah,2,3,0,0,0,0,0,0
YEM276,01/07/2017,unclear,ALWADI,Abyan,2,2,0,0,0,0,0,0
YEM277,13/08/2017,Marakishah,unclear,Abyan,0,3,0,0,0,0,0,0
YEM278,09/09/2017,unclear,unclear,ALBAYDA,2,7,0,0,0,0,0,0
YEM279,16/09/2017,unclear,unclear,unclear,0,0,0,0,0,0,0,0
YEM280,04/10/2017,unclear,unclear,ALBAYDA,1,2,0,0,0,0,0,0
YEM281,08/10/2017,unclear,Raghwan,Marib,5,5,0,0,0,0,0,0
YEM282,16/10/2017,unclear,unclear,ALBAYDA,50,50,0,0,0,0,0,0
YEM283,19/10/2017,unclear,unclear,ALBAYDA,5,5,0,0,0,0,0,0
YEM284,19/10/2017,unclear,unclear,unclear,0,0,0,0,0,0,0,0
YEM285,25/10/2017,unclear,unclear,ALBAYDA,9,13,0,0,0,0,0,0
YEM286,02/11/2017,Al Wadi,unclear,Marib,2,2,0,0,0,0,0,0
YEM287,10/11/2017,unclear,unclear,ALBAYDA,2,2,0,0,0,0,0,0
YEM288,11/11/2017,unclear,unclear,ALBAYDA,1,1,0,0,0,0,0,0
YEM289,12/11/2017,unclear,unclear,ALBAYDA,2,2,0,0,0,0,0,0
YEM290,19/11/2017,unclear,unclear,ALBAYDA,2,2,0,0,0,0,0,0
YEM291,20/11/2017,unclear,unclear,ALBAYDA,5,5,0,0,0,0,0,0
YEM292,23/11/2017,unclear,unclear,ALBAYDA,2,2,0,0,0,0,0,0
YEM293,25/11/2017,unclear,unclear,Shabwah,5,7,0,0,0,0,0,0
YEM294,26/11/2017,Qaifa,unclear,ALBAYDA,3,3,0,0,0,0,0,0
YEM295,15/12/2017,unclear,unclear,ALBAYDA,1,1,0,0,0,0,0,0
YEM296,19/12/2017,Unknown,unclear,Marib,1,1,0,0,0,0,0,0
YEM297,01/01/2018,unclear,unclear,ALBAYDA,0,2,0,2,0,0,0,0
YEM298,26/01/2018,unclear,As Said,Shabwah,7,7,7,7,0,0,0,0
YEM299,29/01/2018,unclear,unclear,unclear,0,0,0,0,0,0,0,0
YEM300,11/02/2018,unclear,unclear,ALBAYDA,6,6,0,0,0,0,0,0
YEM301,16/02/2018,unclear,unclear,ALBAYDA,2,3,0,0,0,0,0,0
YEM302,28/02/2018,unclear,unclear,unclear,0,0,0,0,0,0,0,0
YEM303,05/03/2018,unclear,unclear,Hadramawt,1,4,0,1,0,1,0,1
YEM304,07/03/2018,Al Hudhi,unclear,Hadramawt,1,1,1,1,0,0,0,0
YEM305,08/03/2018,unclear,unclear,Hadramawt,0,0,0,0,0,0,0,0
YEM306,09/03/2018,unclear,Al Abr,Hadramawt,6,6,0,6,0,1,0,0
YEM307,22/03/2018,Wadi Abida,unclear,Marib,5,7,0,0,0,0,0,0
