Strike ID,Date,Adm_2,Adm_1,Minimum total people killed,Maximum total people killed,Minimum civilians reported killed,Maximum civilians reported killed,Minimum children reported killed,Maximum children reported killed,Minimum reported injured,Maximum reported injured,Adm_3
Ob49,17/12/2009,Ambar Shaga,North Waziristan,12,16,6,6,0,0,0,0,Unknown
Ob50,18/12/2009,Babrak Ziarat,North Waziristan,5,8,5,5,0,0,4,5,Unknown
Ob51,26/12/2009,Saidgai,North Waziristan,13,20,6,6,0,0,12,12,Unknown
Ob52,31/12/2009,Machi Khel,North Waziristan,3,7,3,3,1,1,2,2,Unknown
Ob53,01/01/2010,Ghundikala,North Waziristan,2,3,0,0,0,0,3,4,Unknown
Ob54,03/01/2010,Mosaki,North Waziristan,5,5,1,2,1,1,2,2,Unknown
Ob55,06/01/2010,Sanzali,North Waziristan,5,7,0,6,0,0,5,5,Unknown
Ob56,06/01/2010,Sanzali,North Waziristan,5,9,5,5,0,0,3,3,Unknown
Ob57,08/01/2010,Tappi,North Waziristan,5,6,5,5,1,1,3,3,Unknown
Ob58,09/01/2010,Ismail Khel,North Waziristan,4,5,0,0,0,0,5,5,Unknown
Ob59,09/01/2010,Shaktoi,North Waziristan,15,18,0,0,0,0,7,14,Unknown
Ob60,15/01/2010,Zanani,North Waziristan,5,10,0,0,0,0,3,3,Unknown
Ob61,15/01/2010,Shaktoi,North Waziristan,6,10,0,0,0,0,0,0,Unknown
Ob62,17/01/2010,Shaktoi,North Waziristan,14,20,0,0,0,0,4,4,Unknown
Ob63,19/01/2010,Deegan,North Waziristan,5,9,0,0,0,0,4,4,Unknown
Ob64,29/01/2010,Mohammad Khel,North Waziristan,2,15,0,0,0,0,4,4,Unknown
Ob65,02/02/2010,Toor Narai,North Waziristan,23,24,0,0,0,0,0,0,Unknown
Ob66,02/02/2010,Deegan,North Waziristan,0,0,0,0,0,0,0,0,Unknown
Ob67,02/02/2010,Mohammad Khel,North Waziristan,0,0,0,0,0,0,0,0,Unknown
Ob68,02/02/2010,Pai Khel,North Waziristan,9,9,5,5,0,0,0,0,Unknown
Ob69,14/02/2010,Mir Ali,North Waziristan,5,7,0,0,0,0,4,4,Unknown
